Dataset,Dose,Molecule,T1,T2,T3,TT,THH,TH1,THN
Wedge 21,5.49,B,94.32415229786616,91.68643351823007,172.2691404894685,4.8634126542731195,69.46385838304022,1.6972691674773728,-3.5987329730164106
Wedge 22,5.5,B,93.70659547962475,93.46097227008114,171.61881112370213,4.3388989731020615,68.83240478268415,1.5274127800345951,-4.5918490760659125
Wedge 23,5.5,B,93.54696266768664,91.74283184521418,172.28285504841222,5.619019420766833,69.62022226870683,1.9680621003783472,-3.71775701180421
Wedge 24,5.5,B,94.07540898706027,92.58598987246782,171.74776575299273,4.869029866869937,68.61174133100484,1.6188245889469641,-4.028181972176938
Wedge 25,5.51,B,94.06693747660663,92.13471947302682,172.30038075351763,4.5629925784325565,69.2119418367691,1.3378313147878487,-4.291663445539783
Wedge 26,5.48,B,93.75650880495061,92.86272139948089,172.38557743616272,3.761175405866453,69.86552454619806,0.9839035358805006,-4.906014640593241
Wedge 27,5.48,B,94.0249792938776,92.9401967251827,172.1079425236696,3.708475403018994,69.87536801493448,0.45294120792151205,-5.059204196101092
Wedge 28,5.43,B,93.77863527548435,92.56296955800389,172.135576140832,4.649125529890412,69.47809405034612,0.963593163595263,-4.5142743041414235
Wedge 29,5.43,B,93.99523163787572,92.98943161962235,171.82384385358486,4.247178846708948,70.62982753357167,1.0487475860253,-5.101729509711831
Wedge 30,5.41,B,93.79836219390783,92.6354653881885,172.10807213353831,4.56817468023614,70.06110301811599,1.0300283547140623,-4.32926208033868
Wedge 31,5.41,B,93.89454438801934,92.4767839712756,172.0273808087521,4.790930988719268,69.00050284043668,0.9738382935069154,-4.222870080790514
Wedge 32,5.42,B,93.1436306093613,92.4120046254096,171.9938016872378,5.762156385309524,69.68023047696646,2.179083877629864,-4.017288081928697
Wedge 33,5.42,B,94.50498975818495,93.04018319349996,171.3743141958703,4.177520289864091,69.78005340798862,1.315458138016126,-5.044454176078702
Wedge 34,5.44,B,94.01707946845532,91.97471795789477,171.7399251178451,5.685811959095332,68.67374471856188,1.2502721906821535,-3.709271605700266
Wedge 35,5.43,B,94.17288929637436,93.05731667139665,171.4764732089404,4.510598142686888,69.06992293058869,1.2587381248447969,-4.792293143783212
Wedge 36,5.48,B,93.96075302534982,92.68542351810719,171.53427405016924,5.241235627558822,69.26288489398604,1.117491283037026,-4.487701737267017
